coupling,exponent,auc,iso,interior_share
multiplicative,1.5,0.8471053966172652,1.0,1.0
multiplicative,2.0,0.8283228991563255,1.0,1.0
multiplicative,3.0,0.7779275776136952,0.9944444444444445,1.0
additive,1.5,0.7587486116794416,1.0,1.0
additive,2.0,0.7308882177966396,0.9944444444444445,1.0
additive,3.0,0.7436817398361497,0.9833333333333334,1.0
