metric,fragmented,intermediate,oligopolistic
auc,0.831,0.828,0.823
cliffs_delta,0.451,0.429,0.413
corr_b_behavior,0.642,0.65,0.666
corr_b_beta,0.813,0.814,0.805
corr_b_s,0.012,-0.023,0.027
corr_b_share,0.848,0.846,0.843
extreme_isolated,1.0,1.0,1.0
silhouette,0.117,0.128,0.149
var_beta_star,0.038,0.043,0.052
variance_ratio,0.517,0.54,0.572
