distribution,scenario,var_beta,auc,iso
pareto,oligopolistic,0.05215695165147415,0.8227335640138407,1.0
pareto,intermediate,0.04291396298771543,0.8283491599707815,1.0
pareto,fragmented,0.03799976433051453,0.8312071992976294,1.0
lognormal,oligopolistic,0.03937111006434826,0.8170934256055363,0.98
lognormal,intermediate,0.03177788357929769,0.8175237399561723,0.98
lognormal,fragmented,0.028580306809113932,0.8237028094820016,0.99
truncated,oligopolistic,0.05038449348239372,0.8195847750865052,1.0
truncated,intermediate,0.040256032039120766,0.8285756026296568,1.0
truncated,fragmented,0.03537915527548483,0.8318195785776997,1.0
