beta_form,scenario,corr_b_beta,corr_b_s,auc,iso
linear,oligopolistic,0.805420620969453,0.027363332121678165,0.8227335640138407,1.0
linear,intermediate,0.8140950609148966,-0.023004145583289046,0.8283491599707815,1.0
linear,fragmented,0.8134062530140835,0.011745268920070474,0.8312071992976294,1.0
multiplicative,oligopolistic,0.8039600317943757,0.022351380739188107,0.8025951557093426,1.0
multiplicative,intermediate,0.7976535134491293,-0.02529117132192658,0.7962162162162163,1.0
multiplicative,fragmented,0.7943656672058877,0.010516143411705713,0.8063937664618085,1.0
min,oligopolistic,0.7835234738225939,0.013394068529334346,0.7760899653979237,1.0
min,intermediate,0.7693292021852222,-0.023272943084976315,0.7805478451424398,1.0
min,fragmented,0.7621567687685911,0.0030200812103743746,0.7785425812115893,1.0
