corr_b_beta,corr_b_share,corr_b_s,corr_b_behavior,auc,cliffs_delta,silhouette,variance_ratio,var_beta_star,extreme_isolated
0.7833963473989516,0.8968095122217103,0.07969138165711229,0.5666805072878264,0.8400292184075968,0.45714285714285713,0.14572574057141532,0.7637453320504808,0.03849232912658981,True
0.7101873110019544,0.8509550668490725,-0.033698802110554864,0.6234667781061031,0.7297297297297297,0.47796610169491527,0.20533891817302288,0.7040428186521407,0.043586799355106454,True
0.7495449213832541,0.8974064130063175,-0.059263799041468994,0.6718348141044879,0.7107377647918188,0.18333333333333332,0.12508856555625067,0.6363190581799273,0.061621349218144564,True
0.7319424388452275,0.8143864711630868,-0.09127734627712707,0.5623813754265061,0.7531044558071586,0.266078184110971,0.09449937484951229,0.38512706703740596,0.03866842773552215,True
0.8472903803423296,0.8498698254666949,-0.03173813550986368,0.656555293337019,0.8035062089116143,0.626733921815889,0.1271960076195186,0.48359268185812176,0.04063091197388596,True
0.7648815321439073,0.8919371808214307,0.14796776915326842,0.6445615464546004,0.8056975894813733,0.41379310344827586,0.10834435766259758,0.4431225247835409,0.046178642335580875,True
0.8795107483325114,0.8549296700108817,0.11636201813532092,0.6562810317738408,0.9065010956902849,0.5904761904761905,0.08029414984636266,0.6595277515241752,0.030961588435101713,True
0.7692390308189304,0.8435162036269539,-0.17283924700109587,0.6756113804189811,0.829072315558802,0.30625,0.1095323619887752,0.33175519847993895,0.036449653954187436,True
0.8640605105848338,0.8652921784052745,0.1099505900867786,0.6304736311926082,0.8692476260043828,0.35435056746532156,0.0981914812046861,0.49935830244208357,0.05351624426116931,True
0.8286140652824956,0.8854803717098504,-0.06510237814429451,0.6832536302421353,0.8035062089116143,0.5025799793601651,0.18131710854660568,0.5037131836971976,0.04148110224621429,True
0.7933959075043553,0.8544806740593197,0.17967342659162586,0.6122531162956099,0.872899926953981,0.35141242937853107,0.1416622393221277,0.7558391604988114,0.05078867986294057,True
0.8779842256279978,0.8612199969409421,-0.23818686147402854,0.6344374866023136,0.8948137326515705,0.3387096774193548,0.1249265028742664,0.451226430746803,0.046270644851057356,True
0.8324164643981208,0.8497386804560364,-0.11846241925767656,0.8064136461897042,0.9043097151205259,0.5525423728813559,0.16997259232518494,0.7391955383084404,0.03995375883526179,True
0.8083454758392845,0.8851803225948836,-0.17249941381149986,0.687657748428026,0.8341855368882396,0.2571428571428571,0.16046709515780022,0.4427962214679665,0.04444173910321293,True
0.8426357996549125,0.8146111592439381,0.11349454712021749,0.6670354219830237,0.8480642804967129,0.4956896551724138,0.13816548891012986,0.6046052101260885,0.034938306442216405,True
0.8093429064846968,0.869456576592483,0.06704568664901571,0.6403196632002974,0.7640613586559533,0.41694915254237286,0.12119041622361224,0.315223216241615,0.035241260830521065,True
0.8436722962150417,0.8325565647829155,-0.018340621648893263,0.6521734290786263,0.8349159970781592,0.4717703349282297,0.15111166284402971,0.6997029306154038,0.027991444065559326,True
0.7588394549212542,0.8711087206658713,0.11123868080306878,0.6030496197863449,0.6815193571950329,0.25933014354066986,0.10499471203926575,0.4652940239252109,0.04402685595084023,True
0.8304975917502586,0.8202884088490078,-0.07740886017652807,0.6711643633186222,0.8699780861943024,0.4380952380952381,0.07544074592751683,0.4655772543938341,0.05088979503364737,True
0.8508999781372146,0.8241603314530678,-0.1323760842470869,0.7303910107504481,0.799853907962016,0.5053763440860215,0.07252129605359013,0.447818193241591,0.05826674901449017,True
0.8349866269385783,0.7981523711455782,0.2096165312099153,0.6935881039026907,0.8823959094229364,0.4166666666666667,0.1387075382081075,0.5888806356016271,0.054775895987899746,True
0.825600161737416,0.8014550229075595,-0.1689909219332279,0.7701677056163335,0.8670562454346239,0.33669609079445145,0.12269524999858004,0.4984955014636138,0.05939429492347529,True
0.8350409469496359,0.8115682333398491,0.10971952300105217,0.6943008921015933,0.8677867056245435,0.4166666666666667,0.14418347297797532,0.48769178603761687,0.039025438316875945,True
0.7932168678406516,0.8169612593076884,-0.004990188786235314,0.5802113047770311,0.8108108108108107,0.3921815889029004,0.11695316242170518,0.7770909506226222,0.047444811636696886,True
0.7849898841044775,0.7956052720823394,0.1467583177059853,0.6305781753967328,0.7823228634039445,0.3828689370485036,0.07965527995769964,0.4642401018087424,0.046383469672241794,True
0.8184906982386488,0.8781189398936623,-0.07571730697331464,0.6482013032106332,0.8619430241051863,0.47580645161290325,0.0816233374338183,0.42534632116040916,0.0322187930380855,True
0.8602992249428666,0.8732132779192807,-0.2238745787147446,0.7205022563197342,0.9276844411979547,0.5496031746031746,0.1215462402107275,0.499499504672522,0.030658524272859065,True
0.8202341402152558,0.8538379001336553,-0.13601079390378043,0.5370388864333139,0.8736303871439006,0.5833333333333334,0.12354766222432427,0.5755979286930134,0.03812240563605128,True
0.8418405451548401,0.8493814045529873,-0.0987450685545897,0.601306231214897,0.8926223520818115,0.6248587570621469,0.14702661684152565,0.7170763277814897,0.045453141452867385,True
0.7956485657265719,0.8676571863292489,0.06694488276170893,0.5339473012985386,0.8159240321402483,0.37874097007223945,0.17532494173637198,0.6756300489958909,0.051327960835818955,True
0.8195083595371211,0.8449453980619066,-0.0786358406694131,0.7297445223719025,0.8663257852447042,0.4621212121212121,0.18582691173656546,0.5900264596857928,0.03998615973603573,True
0.7237906087896602,0.8652872604313908,0.013839800393527658,0.4393488825338384,0.747991234477721,0.08095238095238096,0.12371940673887225,0.5057240274317444,0.04275485946997448,True
0.8458186969237207,0.8475709954124578,-0.19996763601742043,0.7132933505717592,0.877282688093499,0.5031525851197982,0.1661538314319147,0.6460036588492484,0.03849394634137305,True
0.7896233829094457,0.8100901925112474,-0.22450887917389026,0.7103169376803826,0.845872899926954,0.20476190476190476,0.20536318442015922,0.5947422138293754,0.05784563470965474,True
0.7882659076798572,0.8836045483237831,-0.046101101536270186,0.6072436175120265,0.8239590942293645,0.2857142857142857,0.17690318031959043,0.6591728859125047,0.05014464290160056,True
0.8219075504318323,0.8591091715513227,0.09433915136624385,0.7169487408623362,0.8677867056245434,0.3844086021505376,0.13971874322352912,0.3704279797709113,0.04107211960255835,True
0.8403660390796935,0.8204295977828711,-0.035150733593810636,0.6557119491870579,0.8283418553688824,0.3593073593073593,0.1291283039942162,0.5811900181711886,0.05219090313206126,True
0.8250532546472648,0.8479517602909364,0.17249111209200513,0.6131418994665189,0.8641344046749453,0.5833333333333334,0.050256738269562284,0.42367404485846144,0.031140602322464104,True
0.8015279831573882,0.8684171825402146,-0.15410965237760937,0.6466223958632618,0.9159970781592403,0.5619047619047619,0.22103088207864033,0.7812909059150211,0.053316431439839426,True
0.8041251317251074,0.7991703251262584,-0.017420027845367905,0.7166526469637996,0.8181154127100073,0.36507936507936506,0.12193258888429108,0.6189012103322195,0.050145665428628916,True
0.7749275161708572,0.7778849566712635,-0.08452535875724515,0.6117446008491091,0.7728268809349891,0.45098039215686275,0.06681036661679399,0.4157078951052833,0.05252767652699976,True
0.8348865215124769,0.828067436650149,-0.09795191909236417,0.6707184726013808,0.8911614317019723,0.4482758620689655,0.07687468029640217,0.3873091149397933,0.037786751494796836,True
0.8301403900541202,0.9090437506214207,-0.11806178983782384,0.5769419532524757,0.8108108108108109,0.28877679697351827,0.09381632995075484,0.40674258695521953,0.052311351794771276,True
0.815181152040635,0.8906304451651434,-0.009714458473578142,0.5953873142252676,0.7845142439737034,0.5698924731182796,0.13300876705616568,0.3581171326281001,0.03521708293443421,True
0.8443887385075132,0.7922087990193916,-0.15234654919786492,0.6592182712564,0.9401022644265888,0.465625,0.14502112180753998,0.7004218182327432,0.034017752331079815,True
0.8264548115646034,0.8777444651690479,0.013773156243022944,0.6729140317882607,0.8319941563184807,0.3446327683615819,0.1345613810457702,0.4789562417300992,0.031680265431988125,True
0.8133304034849467,0.8661950015426952,-0.0883741388956308,0.6128111571185048,0.8400292184075968,0.32094943240454077,0.16592718616848762,0.5256733555245389,0.033765412609525376,True
0.7826427493021356,0.8367210002321489,0.07993051488336811,0.647945335973543,0.8217677136596057,0.28361581920903955,0.1596389664923492,0.5442763901202659,0.047687811832383846,True
0.8771100370683977,0.8747364268645553,0.014865555631016566,0.7335363737053286,0.8035062089116143,0.3976190476190476,0.06064989608615503,0.498606494933855,0.037520838965594216,True
0.8443561937984928,0.860210748116553,-0.03717771434433147,0.6763114210755717,0.8787436084733382,0.5107758620689655,0.13284099713950528,0.5033914880724146,0.03995203263302093,True
0.8692387027605376,0.8898480444881827,0.027547537661086672,0.701452521878976,0.831263696128561,0.6155913978494624,0.140996966173697,0.5606244619951259,0.05511981682314664,True
0.7212065304390255,0.817707395020678,-0.07801760072162482,0.5106190397285483,0.8232286340394449,0.2384180790960452,0.07635012733578517,0.5578672588546619,0.04438724494965552,True
0.7565478137371373,0.799910797878341,0.18983223408186997,0.6442304980170332,0.7706355003652301,0.1370851370851371,0.08673090589592901,0.458374926269882,0.04093011936343335,True
0.7690178263726175,0.8980740234076442,0.05506505094120479,0.6460790679951871,0.8612125639152666,0.3357142857142857,0.22788494420098465,0.8706050792767969,0.03819749608648449,True
0.8701158176995881,0.8551346471126959,-0.0009034574714516352,0.709954719580129,0.8422205989773557,0.6428571428571429,0.12253926889671266,0.43338090904426707,0.038472397881260154,True
0.7727071950707183,0.782937444624437,-0.13722935998651137,0.6419487228329224,0.7772096420745069,0.1380952380952381,0.09968880395990909,0.3816134839534423,0.05429704115020356,True
0.8586556288361274,0.8405073294415811,-0.1282595245326438,0.7439896059308857,0.889700511322133,0.536723163841808,0.13363326477647178,0.5566919694490056,0.04476123221074659,True
0.707070635056138,0.7821706123341468,-0.19933047831848416,0.5622516998620892,0.6837107377647917,0.3362193362193362,0.10734398583041278,0.43710327379762937,0.04192540803432328,True
0.7893515659198247,0.8727015392972276,-0.18053337692461768,0.6331435059813753,0.8371073776479182,0.48926553672316386,0.12294990831730064,0.6715041547373836,0.03906510748586228,True
0.837701170547517,0.8071971416145153,-0.1370898576945433,0.7009309217124595,0.7823228634039445,0.46279949558638084,0.09715685370324087,0.3876701388673398,0.048339811068169744,True
0.8232024622433078,0.900089241058205,0.12396883683583505,0.6175040253050096,0.9262235208181153,0.47344632768361583,0.12609349500259964,0.5270827716371933,0.031784698214904816,True
0.8393363595734342,0.8560397740567212,-0.11479963406038028,0.6277490597738963,0.8940832724616508,0.7536723163841808,0.10892496115005033,0.5556567609330176,0.039956727906494516,True
0.7546240307852159,0.8253769874598178,-0.0007731974102374671,0.6548016089836424,0.6807888970051132,0.27231638418079096,0.07437100839728147,0.42074292008966124,0.03933296534844498,True
0.8590644329453598,0.8424267066397266,-0.09588254855326424,0.62120664388117,0.885317750182615,0.39470365699873894,0.10644213707604709,0.36299886601839354,0.03159395189927322,True
0.8494092642216977,0.8742749696952186,-0.06263775816064221,0.6243245658138041,0.7772096420745069,0.6132756132756133,0.1096365998150256,0.4020332909896478,0.037432828639209964,True
0.7800659197402643,0.8891599234508458,-0.20708786269973606,0.6516075660650683,0.7428780131482835,0.2413793103448276,0.06681050374700506,0.41364471468542063,0.03657105089953633,True
0.8009866624225688,0.7716440380312183,0.06845495832876697,0.7369324195192408,0.7699050401753105,0.5380952380952381,0.07651340807243108,0.45198790052012866,0.05928690186236657,True
0.8307227549815535,0.8151597204058153,-0.1140129588738815,0.6164562071363866,0.8816654492330168,0.611904761904762,0.14622789979119963,0.6256271473146693,0.04213853403756194,True
0.8144723021286293,0.848514075591264,0.007054208832035014,0.6226971382877954,0.8582907231555881,0.6397849462365591,0.17834504392758385,0.6172683395166929,0.05070211721433242,True
0.8231116515875516,0.8565048172891132,0.17044860309251633,0.6414474891429457,0.8677867056245435,0.4224464060529634,0.1239380525116763,0.5287110448490895,0.04694577697603175,True
0.7889915713986111,0.8444548207801033,0.017547265289674107,0.6424783412757819,0.8159240321402483,0.47043010752688175,0.06384281147695345,0.3065567373713868,0.03281510058610186,True
0.798896666014133,0.8085796119907409,-0.04763710418302839,0.6709488553337198,0.8597516435354273,0.5046439628482973,0.18451628591363772,0.5961233597558052,0.05966298031049747,True
0.8078957861439631,0.8154804324426237,0.22797116285842897,0.6592101455395556,0.7647918188458729,0.5254237288135594,0.13986753908498648,0.8008112711598456,0.03638959271684641,True
0.801253523888644,0.8746429705626946,0.12677085823840598,0.641048581954791,0.7757487216946677,0.2756132756132756,0.12641489664764624,0.43081074457800334,0.03365711515887307,True
0.8555781887638227,0.8518037424249867,-0.1780004429877625,0.7148449432164139,0.8597516435354273,0.6397849462365591,0.12452052328514314,0.5624455875891159,0.03933066249276726,True
0.8519081153851308,0.8779681887954202,0.05526116178226632,0.6657268059022963,0.7815924032140249,0.5815295815295816,0.14968007964146254,0.34731237312082947,0.03976568313994469,True
0.8437035087950375,0.8617936561194162,0.1614919712238952,0.7810299731849925,0.8809349890430972,0.5686274509803921,0.17331704834580006,0.5380971194851895,0.060671491159700074,True
0.7755270384035032,0.8564300874993861,-0.17253386800006032,0.6163893499005171,0.7523739956172388,0.17234262125902994,0.07672503640135762,0.39851291428452434,0.039358073943874354,True
0.8097950882028371,0.8379774323082292,-0.0646080272170659,0.6956997252888283,0.794010226442659,0.35,0.12022606935632439,0.7188471923171249,0.04960225833075485,True
0.8163548449657133,0.8016244814938108,0.047031137016521285,0.5738628950426903,0.8663257852447042,0.4650537634408602,0.1660095970597284,0.6320387611781443,0.0516974856265413,True
0.8193755803709568,0.8925999183581494,-0.03078125489530457,0.6580725458893779,0.7560262965668371,0.2938209331651955,0.154289721207939,0.4669004038221633,0.038613532912853556,True
0.8637064144151989,0.8236361440821175,-0.2261684003908897,0.7390082403477375,0.8531775018261505,0.3387096774193548,0.10632722593699521,0.584287345232733,0.04073893440471566,True
0.7953209233770613,0.8107209012325401,0.04349621243556408,0.5936950136700402,0.716581446311176,0.3064516129032258,0.0888209696784415,0.3797899109167054,0.04315580896653604,True
0.8081776536660958,0.8273511878520129,0.001926776479284672,0.6720627481924324,0.8378378378378378,0.4716202270381837,0.16458849205760512,0.5089768810051235,0.05048193310670975,True
0.8019593281923559,0.8320429975152885,-0.25640824906825527,0.6583507039050055,0.8013148283418554,0.656497175141243,0.17444900910709035,0.47154981046011346,0.04090137213849561,True
0.8145132529510098,0.8763988616040359,0.11871296586907362,0.681175079864627,0.8159240321402483,0.49810844892812106,0.09356788016660685,0.629034333847814,0.037523475474688935,True
0.8478694404191157,0.8582899076911228,-0.11734256173951926,0.6636558757381908,0.8816654492330168,0.49830508474576274,0.15102531305913017,0.5798120431415604,0.04053228209438964,True
0.7717690198267395,0.791657697786279,0.0010229689440919357,0.60128917436611,0.7772096420745069,0.49206349206349204,0.08945991029058234,0.5919152093474,0.03384411448347117,True
0.8065044710340201,0.8153531459546381,0.16081883902003752,0.6186536023407884,0.8568298027757487,0.4401154401154401,0.12043183032974764,0.5782754254376729,0.03780145514788524,True
